nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,8.5e-06,3.25378,0,0,0,0,0,,
1,0,8.5e-06,46.4646,0,0,0,0,0,,
2,0,8.5e-06,42.7473,0,0,0,0,0,,
3,0,8.5e-06,42.7473,0,0,0,0,0,,
4,0,8.5e-06,46.4646,0,0,0,0,0,,
5,0,8.5e-06,138.387,0,0,0,0,0,,
6,0,8.5e-06,305.09,0,0,0,0,0,,
7,0,8.5e-06,526.186,0,0,0,0,0,,
8,0,8.5e-06,128.317,0,0,0,0,0,,
9,0,8.5e-06,3.25378,0,0,0,0,0,,
10,0,8.5e-06,870.501,0,1,0,1,0,,
11,0,8.5e-06,371.672,0,1,0,1,0,,
12,0,8.5e-06,114.082,0,1,0,1,0,,
13,0,8.5e-06,176.831,0,1,0,1,0,,
14,0,8.5e-06,270.213,0,1,0,1,0,,
15,0,8.5e-06,114.082,0,1,0,1,0,,
16,0,8.5e-06,86.9685,0,1,0,1,0,,
17,0,8.5e-06,371.672,0,1,0,1,0,,
18,0,8.5e-06,176.831,0,1,0,1,0,,
19,0,8.5e-06,86.9685,0,1,0,1,0,,
20,0,8.5e-06,317.882,0,2,0,2,0,,
21,0,8.5e-06,55.3591,0,2,0,2,0,,
22,0,8.5e-06,149.02,0,2,0,2,0,,
23,0,8.5e-06,55.3591,0,2,0,2,0,,
24,0,8.5e-06,178.765,0,2,0,2,0,,
25,0,8.5e-06,63.8349,0,2,0,2,0,,
26,0,8.5e-06,63.8349,0,2,0,2,0,,
27,0,8.5e-06,178.765,0,2,0,2,0,,
28,0,8.5e-06,149.02,0,2,0,2,0,,
29,0,8.5e-06,241.182,0,2,0,2,0,,
30,0,8.5e-06,477.48,0,3,0,3,0,,
31,0,8.5e-06,120.517,0,3,0,3,0,,
32,0,8.5e-06,75.2031,0,3,0,3,0,,
33,0,8.5e-06,77.9214,0,3,0,3,0,,
34,0,8.5e-06,16.1953,0,3,0,3,0,,
35,0,8.5e-06,38.806,0,3,0,3,0,,
36,0,8.5e-06,38.806,0,3,0,3,0,,
37,0,8.5e-06,77.9214,0,3,0,3,0,,
38,0,8.5e-06,173.969,0,3,0,3,0,,
39,0,8.5e-06,16.1953,0,3,0,3,0,,
50,3.25378,8.5e-06,301.836,301.836,0,0,0,0,,9;0
119,16.1953,8.5e-06,59.0079,59.0079,3,1,3,1,,39;34
266,38.806,8.5e-06,135.163,135.163,3,1,3,1,,35;36
299,42.7473,8.5e-06,85.5694,85.5694,0,1,0,1,,3;2
327,46.4646,8.5e-06,91.9227,91.9227,0,1,0,1,,4;1
386,55.3591,8.5e-06,223.766,223.766,2,0,2,0,,21;23
456,63.8349,8.5e-06,215.29,215.29,2,1,2,1,,25;26
525,75.2031,8.5e-06,45.3137,45.3137,3,1,3,1,,119;32
547,77.9214,8.5e-06,335.867,335.867,3,1,3,1,,37;33
608,86.9685,8.5e-06,183.244,183.244,1,1,1,1,,16;19
756,114.082,8.5e-06,1165.73,1165.73,1,1,1,1,,15;12
797,120.517,8.5e-06,293.271,293.271,3,1,3,1,,31;525
843,128.317,8.5e-06,297.687,297.687,0,1,0,1,,8;299
888,138.387,8.5e-06,387.799,387.799,0,1,0,1,,327;5
942,149.02,8.5e-06,92.1621,92.1621,2,1,2,1,,22;28
1064,173.969,8.5e-06,858.451,858.451,3,1,3,1,,38;266
1078,176.831,8.5e-06,275.273,275.273,1,0,1,0,,18;13
1087,178.765,8.5e-06,105.256,105.256,2,1,2,1,,24;27
1320,241.182,8.5e-06,42.8399,42.8399,2,1,2,1,,29;942
1438,270.213,8.5e-06,181.891,181.891,1,1,1,1,,14;608
1475,279.125,8.5e-06,1098.56,1098.56,2,1,2,1,,386;456
1494,284.022,8.5e-06,33.8599,33.8599,2,1,2,1,,1087;1320
1569,305.09,8.5e-06,120.914,120.914,0,1,0,1,,6;50
1605,317.882,8.5e-06,1059.8,1059.8,2,1,2,1,,1494;20
1770,371.672,8.5e-06,2542.07,2542.07,1,1,1,1,,17;11
1858,413.788,8.5e-06,63.6921,63.6921,3,0,3,0,,547;797
1895,426.004,8.5e-06,795.181,795.181,0,1,0,1,,843;1569
1948,452.104,8.5e-06,418.397,418.397,1,1,1,1,,1438;1078
1989,477.48,8.5e-06,554.939,554.939,3,1,3,1,,30;1858
2078,526.186,8.5e-06,694.999,694.999,0,1,0,1,,888;7
2550,870.501,8.5e-06,409.31,409.31,1,1,1,1,,1948;10
2675,1032.42,8.5e-06,1150.76,1150.76,3,1,3,1,,1989;1064
2799,1221.19,8.5e-06,961.995,961.995,0,0,0,0,,2078;1895
2841,1279.81,8.5e-06,1633.93,1633.93,1,1,1,1,,2550;756
2915,1377.68,8.5e-06,10884.1,10884.1,2,1,2,1,,1475;1605
3227,2183.18,8.5e-06,1761.68,1761.68,0,1,0,1,,2675;2799
3392,2913.74,8.5e-06,1031.12,1031.12,1,1,1,1,,2841;1770
3652,3944.86,8.5e-06,8316.93,8316.93,0,1,0,1,,3392;3227
4355,12261.8,8.5e-06,0,0,0,1,0,1,,2915;3652
