nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,5.5e-06,3.25378,0,0,0,0,0,,
1,0,5.5e-06,28.7893,0,0,0,0,0,,
2,0,5.5e-06,36.1175,0,0,0,0,0,,
3,0,5.5e-06,36.1175,0,0,0,0,0,,
4,0,5.5e-06,28.7893,0,0,0,0,0,,
5,0,5.5e-06,178.499,0,0,0,0,0,,
6,0,5.5e-06,41.5703,0,0,0,0,0,,
7,0,5.5e-06,415.246,0,0,0,0,0,,
8,0,5.5e-06,472.273,0,0,0,0,0,,
9,0,5.5e-06,3.25378,0,0,0,0,0,,
10,0,5.5e-06,19.0672,0,1,0,1,0,,
11,0,5.5e-06,32.0082,0,1,0,1,0,,
12,0,5.5e-06,51.7265,0,1,0,1,0,,
13,0,5.5e-06,38.5054,0,1,0,1,0,,
14,0,5.5e-06,19.0672,0,1,0,1,0,,
15,0,5.5e-06,115.585,0,1,0,1,0,,
16,0,5.5e-06,289.862,0,1,0,1,0,,
17,0,5.5e-06,561.761,0,1,0,1,0,,
18,0,5.5e-06,32.0082,0,1,0,1,0,,
19,0,5.5e-06,51.7265,0,1,0,1,0,,
20,0,5.5e-06,114.959,0,2,0,2,0,,
21,0,5.5e-06,114.959,0,2,0,2,0,,
22,0,5.5e-06,62.5656,0,2,0,2,0,,
23,0,5.5e-06,34.958,0,2,0,2,0,,
24,0,5.5e-06,34.958,0,2,0,2,0,,
25,0,5.5e-06,62.5656,0,2,0,2,0,,
26,0,5.5e-06,125.306,0,2,0,2,0,,
27,0,5.5e-06,214.062,0,2,0,2,0,,
28,0,5.5e-06,214.062,0,2,0,2,0,,
29,0,5.5e-06,455.279,0,2,0,2,0,,
30,0,5.5e-06,112.385,0,3,0,3,0,,
31,0,5.5e-06,26.7737,0,3,0,3,0,,
32,0,5.5e-06,26.7737,0,3,0,3,0,,
33,0,5.5e-06,84.4287,0,3,0,3,0,,
34,0,5.5e-06,59.2447,0,3,0,3,0,,
35,0,5.5e-06,59.2447,0,3,0,3,0,,
36,0,5.5e-06,84.4287,0,3,0,3,0,,
37,0,5.5e-06,77.6268,0,3,0,3,0,,
38,0,5.5e-06,60.5416,0,3,0,3,0,,
39,0,5.5e-06,60.5416,0,3,0,3,0,,
50,3.25378,5.5e-06,38.3165,38.3165,0,0,0,0,,9;0
128,19.0672,5.5e-06,59.8413,59.8413,1,1,1,1,,14;10
177,26.7737,5.5e-06,146.08,146.08,3,1,3,1,,31;32
188,28.7893,5.5e-06,15.2416,15.2416,0,0,0,0,,4;1
211,32.0082,5.5e-06,6.49722,6.49722,1,1,1,1,,18;11
228,34.958,5.5e-06,298.971,298.971,2,1,2,1,,24;23
238,36.1175,5.5e-06,379.129,379.129,0,1,0,1,,2;3
261,38.5054,5.5e-06,40.4031,40.4031,1,1,1,1,,13;211
285,41.5703,5.5e-06,2.46056,2.46056,0,1,0,1,,50;6
310,44.0309,5.5e-06,134.468,134.468,0,1,0,1,,188;285
358,51.7265,5.5e-06,238.135,238.135,1,1,1,1,,19;12
417,59.2447,5.5e-06,195.605,195.605,3,1,3,1,,35;34
426,60.5416,5.5e-06,17.0852,17.0852,3,1,3,1,,39;38
444,62.5656,5.5e-06,62.7404,62.7404,2,1,2,1,,25;22
544,77.6268,5.5e-06,34.7585,34.7585,3,1,3,1,,426;37
562,78.9085,5.5e-06,36.6763,36.6763,1,1,1,1,,128;261
595,84.4287,5.5e-06,170.421,170.421,3,1,3,1,,33;36
745,112.385,5.5e-06,60.4679,60.4679,3,1,3,1,,544;30
761,114.959,5.5e-06,218.97,218.97,2,1,2,1,,20;21
765,115.585,5.5e-06,446.176,446.176,1,1,1,1,,562;15
827,125.306,5.5e-06,595.342,595.342,2,1,2,1,,444;26
1059,172.853,5.5e-06,478.816,478.816,3,0,3,0,,177;745
1084,178.499,5.5e-06,588.141,588.141,0,1,0,1,,310;5
1233,214.062,5.5e-06,241.217,241.217,2,0,2,0,,27;28
1379,254.85,5.5e-06,396.819,396.819,3,1,3,1,,417;595
1516,289.862,5.5e-06,5530.24,5530.24,1,1,1,1,,16;358
1651,333.929,5.5e-06,386.719,386.719,2,1,2,1,,228;761
1862,415.246,5.5e-06,57.0269,57.0269,0,1,0,1,,7;238
1953,455.279,5.5e-06,307.533,307.533,2,1,2,1,,1233;29
1982,472.273,5.5e-06,294.366,294.366,0,1,0,1,,8;1862
2146,561.761,5.5e-06,3803.45,3803.45,1,1,1,1,,765;17
2295,651.669,5.5e-06,3713.54,3713.54,3,1,3,1,,1379;1059
2380,720.648,5.5e-06,42.1643,42.1643,2,1,2,1,,827;1651
2427,762.812,5.5e-06,11353.3,11353.3,2,1,2,1,,1953;2380
2434,766.639,5.5e-06,5053.46,5053.46,0,1,0,1,,1982;1084
3733,4365.21,5.5e-06,4758.93,4758.93,0,1,0,1,,2146;2295
3964,5820.1,5.5e-06,3304.04,3304.04,0,0,0,0,,2434;1516
4227,9124.14,5.5e-06,2991.96,2991.96,0,1,0,1,,3733;3964
4350,12116.1,5.5e-06,0,0,0,1,0,1,,2427;4227
