nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,6.5e-06,3.25378,0,0,0,0,0,,
1,0,6.5e-06,28.7893,0,0,0,0,0,,
2,0,6.5e-06,116.948,0,0,0,0,0,,
3,0,6.5e-06,269.094,0,0,0,0,0,,
4,0,6.5e-06,28.7893,0,0,0,0,0,,
5,0,6.5e-06,269.094,0,0,0,0,0,,
6,0,6.5e-06,44.0309,0,0,0,0,0,,
7,0,6.5e-06,554.031,0,0,0,0,0,,
8,0,6.5e-06,276.003,0,0,0,0,0,,
9,0,6.5e-06,3.25378,0,0,0,0,0,,
10,0,6.5e-06,208.189,0,1,0,1,0,,
11,0,6.5e-06,934.823,0,1,0,1,0,,
12,0,6.5e-06,227.63,0,1,0,1,0,,
13,0,6.5e-06,227.63,0,1,0,1,0,,
14,0,6.5e-06,173.359,0,1,0,1,0,,
15,0,6.5e-06,173.359,0,1,0,1,0,,
16,0,6.5e-06,63.615,0,1,0,1,0,,
17,0,6.5e-06,391.121,0,1,0,1,0,,
18,0,6.5e-06,223.664,0,1,0,1,0,,
19,0,6.5e-06,63.615,0,1,0,1,0,,
20,0,6.5e-06,73.5342,0,2,0,2,0,,
21,0,6.5e-06,22.6937,0,2,0,2,0,,
22,0,6.5e-06,62.5656,0,2,0,2,0,,
23,0,6.5e-06,22.6937,0,2,0,2,0,,
24,0,6.5e-06,125.365,0,2,0,2,0,,
25,0,6.5e-06,543.953,0,2,0,2,0,,
26,0,6.5e-06,251.091,0,2,0,2,0,,
27,0,6.5e-06,62.5656,0,2,0,2,0,,
28,0,6.5e-06,338.074,0,2,0,2,0,,
29,0,6.5e-06,804.881,0,2,0,2,0,,
30,0,6.5e-06,87.0397,0,3,0,3,0,,
31,0,6.5e-06,26.7737,0,3,0,3,0,,
32,0,6.5e-06,22.2817,0,3,0,3,0,,
33,0,6.5e-06,68.3937,0,3,0,3,0,,
34,0,6.5e-06,22.2817,0,3,0,3,0,,
35,0,6.5e-06,170.367,0,3,0,3,0,,
36,0,6.5e-06,68.3937,0,3,0,3,0,,
37,0,6.5e-06,24.6441,0,3,0,3,0,,
38,0,6.5e-06,317.232,0,3,0,3,0,,
39,0,6.5e-06,116.673,0,3,0,3,0,,
50,3.25378,6.5e-06,113.694,113.694,0,0,0,0,,9;0
151,22.2817,6.5e-06,2.36241,2.36241,3,1,3,1,,32;34
155,22.6937,6.5e-06,50.8405,50.8405,2,1,2,1,,21;23
166,24.6441,6.5e-06,2.12957,2.12957,3,1,3,1,,151;37
177,26.7737,6.5e-06,89.8988,89.8988,3,1,3,1,,31;166
188,28.7893,6.5e-06,15.2416,15.2416,0,0,0,0,,4;1
310,44.0309,6.5e-06,588.683,588.683,0,1,0,1,,188;6
444,62.5656,6.5e-06,26.6924,26.6924,2,1,2,1,,27;22
452,63.615,6.5e-06,2754.57,2754.57,1,1,1,1,,19;16
489,68.3937,6.5e-06,18.6459,18.6459,3,1,3,1,,36;33
518,73.5342,6.5e-06,15.7237,15.7237,2,0,2,0,,155;20
609,87.0397,6.5e-06,230.192,230.192,3,1,3,1,,489;30
623,89.2579,6.5e-06,36.1067,36.1067,2,1,2,1,,518;444
776,116.673,6.5e-06,53.694,53.694,3,1,3,1,,177;39
778,116.948,6.5e-06,159.055,159.055,0,0,0,0,,2;50
828,125.365,6.5e-06,125.727,125.727,2,1,2,1,,623;24
1051,170.367,6.5e-06,305.256,305.256,3,1,3,1,,35;776
1061,173.359,6.5e-06,34.8301,34.8301,1,1,1,1,,15;14
1205,208.189,6.5e-06,15.475,15.475,1,0,1,0,,1061;10
1263,223.664,6.5e-06,167.457,167.457,1,1,1,1,,18;1205
1276,227.63,6.5e-06,707.192,707.192,1,1,1,1,,12;13
1362,251.091,6.5e-06,86.983,86.983,2,1,2,1,,26;828
1432,269.094,6.5e-06,510.462,510.462,0,1,0,1,,5;3
1464,276.003,6.5e-06,278.028,278.028,0,0,0,0,,8;778
1601,317.232,6.5e-06,158.39,158.39,3,1,3,1,,609;38
1670,338.074,6.5e-06,205.879,205.879,2,1,2,1,,28;1362
1814,391.121,6.5e-06,1154.09,1154.09,1,1,1,1,,1263;17
1985,475.623,6.5e-06,9629.17,9629.17,3,1,3,1,,1601;1051
2110,543.953,6.5e-06,260.929,260.929,2,0,2,0,,25;1670
2131,554.031,6.5e-06,78.6833,78.6833,0,1,0,1,,7;1464
2268,632.714,6.5e-06,146.842,146.842,0,1,0,1,,2131;310
2452,779.556,6.5e-06,2541.24,2541.24,0,1,0,1,,2268;1432
2484,804.881,6.5e-06,19139.8,19139.8,2,1,2,1,,29;2110
2602,934.823,6.5e-06,610.393,610.393,1,1,1,1,,1276;11
3000,1545.22,6.5e-06,1272.97,1272.97,1,1,1,1,,1814;2602
3373,2818.19,6.5e-06,502.606,502.606,1,1,1,1,,452;3000
3514,3320.79,6.5e-06,6784,6784,0,1,0,1,,2452;3373
4283,10104.8,6.5e-06,9839.9,9839.9,0,1,0,1,,1985;3514
4547,19944.7,6.5e-06,0,0,0,1,0,1,,4283;2484
