nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,7.5e-06,3.25378,0,0,0,0,0,,
1,0,7.5e-06,28.7893,0,0,0,0,0,,
2,0,7.5e-06,396.382,0,0,0,0,0,,
3,0,7.5e-06,46.9856,0,0,0,0,0,,
4,0,7.5e-06,28.7893,0,0,0,0,0,,
5,0,7.5e-06,96.0478,0,0,0,0,0,,
6,0,7.5e-06,96.0478,0,0,0,0,0,,
7,0,7.5e-06,400.152,0,0,0,0,0,,
8,0,7.5e-06,46.9856,0,0,0,0,0,,
9,0,7.5e-06,3.25378,0,0,0,0,0,,
10,0,7.5e-06,50.9033,0,1,0,1,0,,
11,0,7.5e-06,50.9033,0,1,0,1,0,,
12,0,7.5e-06,123.626,0,1,0,1,0,,
13,0,7.5e-06,71.6092,0,1,0,1,0,,
14,0,7.5e-06,277.271,0,1,0,1,0,,
15,0,7.5e-06,123.626,0,1,0,1,0,,
16,0,7.5e-06,71.6092,0,1,0,1,0,,
17,0,7.5e-06,297.329,0,1,0,1,0,,
18,0,7.5e-06,117.623,0,1,0,1,0,,
19,0,7.5e-06,176.831,0,1,0,1,0,,
20,0,7.5e-06,142.161,0,2,0,2,0,,
21,0,7.5e-06,142.161,0,2,0,2,0,,
22,0,7.5e-06,1042.61,0,2,0,2,0,,
23,0,7.5e-06,39.8261,0,2,0,2,0,,
24,0,7.5e-06,20.3195,0,2,0,2,0,,
25,0,7.5e-06,89.2579,0,2,0,2,0,,
26,0,7.5e-06,39.8261,0,2,0,2,0,,
27,0,7.5e-06,25.042,0,2,0,2,0,,
28,0,7.5e-06,89.2579,0,2,0,2,0,,
29,0,7.5e-06,20.3195,0,2,0,2,0,,
30,0,7.5e-06,42.8712,0,3,0,3,0,,
31,0,7.5e-06,42.8712,0,3,0,3,0,,
32,0,7.5e-06,293.588,0,3,0,3,0,,
33,0,7.5e-06,496.65,0,3,0,3,0,,
34,0,7.5e-06,24.6441,0,3,0,3,0,,
35,0,7.5e-06,54.9422,0,3,0,3,0,,
36,0,7.5e-06,124.811,0,3,0,3,0,,
37,0,7.5e-06,24.6441,0,3,0,3,0,,
38,0,7.5e-06,93.754,0,3,0,3,0,,
39,0,7.5e-06,93.754,0,3,0,3,0,,
50,3.25378,7.5e-06,393.128,393.128,0,0,0,0,,9;0
138,20.3195,7.5e-06,4.7225,4.7225,2,1,2,1,,29;24
166,24.6441,7.5e-06,100.167,100.167,3,1,3,1,,34;37
171,25.042,7.5e-06,98.5135,98.5135,2,1,2,1,,138;27
188,28.7893,7.5e-06,419.924,419.924,0,0,0,0,,4;1
271,39.8261,7.5e-06,83.7294,83.7294,2,1,2,1,,23;26
301,42.8712,7.5e-06,12.071,12.071,3,1,3,1,,31;30
333,46.9856,7.5e-06,353.166,353.166,0,1,0,1,,3;8
355,50.9033,7.5e-06,369.593,369.593,1,1,1,1,,11;10
383,54.9422,7.5e-06,182.989,182.989,3,0,3,0,,35;301
506,71.6092,7.5e-06,46.014,46.014,1,0,1,0,,13;16
623,89.2579,7.5e-06,1532.98,1532.98,2,1,2,1,,28;25
645,93.754,7.5e-06,661.322,661.322,3,1,3,1,,38;39
657,96.0478,7.5e-06,681.618,681.618,0,1,0,1,,6;5
781,117.623,7.5e-06,59.2077,59.2077,1,1,1,1,,506;18
816,123.555,7.5e-06,258.731,258.731,2,1,2,1,,171;271
817,123.626,7.5e-06,153.646,153.646,1,1,1,1,,12;15
825,124.811,7.5e-06,113.12,113.12,3,1,3,1,,166;36
913,142.161,7.5e-06,240.126,240.126,2,1,2,1,,21;20
1078,176.831,7.5e-06,120.498,120.498,1,0,1,0,,19;781
1307,237.931,7.5e-06,55.6574,55.6574,3,1,3,1,,383;825
1467,277.271,7.5e-06,1615.53,1615.53,1,1,1,1,,817;14
1531,293.588,7.5e-06,203.062,203.062,3,1,3,1,,1307;32
1544,297.329,7.5e-06,123.167,123.167,1,1,1,1,,1078;17
1789,382.286,7.5e-06,660.32,660.32,2,0,2,0,,816;913
1822,396.382,7.5e-06,405.831,405.831,0,0,0,0,,50;2
1832,400.152,7.5e-06,48.5613,48.5613,0,1,0,1,,333;7
1876,420.496,7.5e-06,1472.31,1472.31,1,1,1,1,,1544;355
1942,448.713,7.5e-06,328.953,328.953,0,1,0,1,,1832;188
2028,496.65,7.5e-06,258.425,258.425,3,1,3,1,,1531;33
2419,755.076,7.5e-06,2315.3,2315.3,3,1,3,1,,2028;645
2448,777.666,7.5e-06,24.5463,24.5463,0,1,0,1,,657;1942
2478,802.212,7.5e-06,2268.17,2268.17,0,1,0,1,,2448;1822
2687,1042.61,7.5e-06,579.632,579.632,2,0,2,0,,1789;22
3024,1622.24,7.5e-06,5134.15,5134.15,2,1,2,1,,623;2687
3149,1892.8,7.5e-06,4863.58,4863.58,1,1,1,1,,1876;1467
3440,3070.38,7.5e-06,5981.68,5981.68,0,1,0,1,,2419;2478
4067,6756.39,7.5e-06,2295.67,2295.67,0,1,0,1,,3149;3024
4222,9052.06,7.5e-06,0,0,0,1,0,1,,4067;3440
