nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,9e-06,3.25378,0,0,0,0,0,,
1,0,9e-06,71.735,0,0,0,0,0,,
2,0,9e-06,141.383,0,0,0,0,0,,
3,0,9e-06,265.499,0,0,0,0,0,,
4,0,9e-06,1053.26,0,0,0,0,0,,
5,0,9e-06,49.2233,0,0,0,0,0,,
6,0,9e-06,13.0875,0,0,0,0,0,,
7,0,9e-06,71.735,0,0,0,0,0,,
8,0,9e-06,49.2233,0,0,0,0,0,,
9,0,9e-06,3.25378,0,0,0,0,0,,
10,0,9e-06,154.268,0,1,0,1,0,,
11,0,9e-06,86.5135,0,1,0,1,0,,
12,0,9e-06,437.664,0,1,0,1,0,,
13,0,9e-06,154.268,0,1,0,1,0,,
14,0,9e-06,592.163,0,1,0,1,0,,
15,0,9e-06,49.3108,0,1,0,1,0,,
16,0,9e-06,583.395,0,1,0,1,0,,
17,0,9e-06,149.315,0,1,0,1,0,,
18,0,9e-06,86.5135,0,1,0,1,0,,
19,0,9e-06,49.3108,0,1,0,1,0,,
20,0,9e-06,11.3965,0,2,0,2,0,,
21,0,9e-06,55.3591,0,2,0,2,0,,
22,0,9e-06,1358.06,0,2,0,2,0,,
23,0,9e-06,11.3965,0,2,0,2,0,,
24,0,9e-06,132.463,0,2,0,2,0,,
25,0,9e-06,145.291,0,2,0,2,0,,
26,0,9e-06,40.9275,0,2,0,2,0,,
27,0,9e-06,109.671,0,2,0,2,0,,
28,0,9e-06,40.9275,0,2,0,2,0,,
29,0,9e-06,109.671,0,2,0,2,0,,
30,0,9e-06,64.8744,0,3,0,3,0,,
31,0,9e-06,43.501,0,3,0,3,0,,
32,0,9e-06,590.138,0,3,0,3,0,,
33,0,9e-06,43.501,0,3,0,3,0,,
34,0,9e-06,16.1953,0,3,0,3,0,,
35,0,9e-06,38.806,0,3,0,3,0,,
36,0,9e-06,38.806,0,3,0,3,0,,
37,0,9e-06,64.8744,0,3,0,3,0,,
38,0,9e-06,149.466,0,3,0,3,0,,
39,0,9e-06,16.1953,0,3,0,3,0,,
50,3.25378,9e-06,9.83369,9.83369,0,0,0,0,,9;0
96,11.3965,9e-06,43.9627,43.9627,2,0,2,0,,20;23
104,13.0875,9e-06,252.411,252.411,0,1,0,1,,50;6
119,16.1953,9e-06,752.652,752.652,3,1,3,1,,39;34
266,38.806,9e-06,110.66,110.66,3,1,3,1,,35;36
277,40.9275,9e-06,73.9105,73.9105,2,1,2,1,,28;26
306,43.501,9e-06,405.02,405.02,3,1,3,1,,31;33
342,49.2233,9e-06,540.632,540.632,0,1,0,1,,8;5
345,49.3108,9e-06,388.353,388.353,1,1,1,1,,15;19
386,55.3591,9e-06,183.962,183.962,2,0,2,0,,21;96
468,64.8744,9e-06,383.647,383.647,3,1,3,1,,30;37
507,71.735,9e-06,69.6481,69.6481,0,1,0,1,,7;1
605,86.5135,9e-06,62.8019,62.8019,1,0,1,0,,11;18
727,109.671,9e-06,5.16692,5.16692,2,1,2,1,,29;27
758,114.838,9e-06,17.6252,17.6252,2,1,2,1,,727;277
867,132.463,9e-06,12.8278,12.8278,2,1,2,1,,24;758
912,141.383,9e-06,177.446,177.446,0,1,0,1,,2;507
926,145.291,9e-06,94.0298,94.0298,2,1,2,1,,867;25
945,149.315,9e-06,1113.86,1113.86,1,0,1,0,,17;605
947,149.466,9e-06,440.672,440.672,3,1,3,1,,266;38
964,154.268,9e-06,1108.91,1108.91,1,1,1,1,,13;10
1312,239.321,9e-06,1118.74,1118.74,2,1,2,1,,386;926
1415,265.499,9e-06,53.3307,53.3307,0,1,0,1,,104;3
1609,318.829,9e-06,271.026,271.026,0,1,0,1,,1415;912
1926,437.664,9e-06,145.731,145.731,1,1,1,1,,345;12
1941,448.521,9e-06,320.326,320.326,3,0,3,0,,306;468
2189,583.395,9e-06,8.76798,8.76798,1,1,1,1,,16;1926
2196,589.855,9e-06,463.403,463.403,0,1,0,1,,342;1609
2198,590.138,9e-06,1165.11,1165.11,3,1,3,1,,947;32
2200,592.163,9e-06,3221.47,3221.47,1,1,1,1,,14;2189
2437,768.847,9e-06,986.396,986.396,3,1,3,1,,119;1941
2692,1053.26,9e-06,20437.7,20437.7,0,1,0,1,,2196;4
2827,1263.18,9e-06,2550.46,2550.46,1,0,1,0,,964;945
2902,1358.06,9e-06,6897.31,6897.31,2,1,2,1,,22;1312
3085,1755.24,9e-06,3182.79,3182.79,3,1,3,1,,2198;2437
3630,3813.64,9e-06,1124.4,1124.4,0,1,0,1,,2827;2200
3827,4938.04,9e-06,3317.33,3317.33,0,1,0,1,,3085;3630
4161,8255.37,9e-06,13235.6,13235.6,0,1,0,1,,3827;2902
4576,21491,9e-06,0,0,0,0,0,0,,2692;4161
