nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,5e-06,3.25378,0,0,0,0,0,,
1,0,5e-06,28.7893,0,0,0,0,0,,
2,0,5e-06,20.8618,0,0,0,0,0,,
3,0,5e-06,234.606,0,0,0,0,0,,
4,0,5e-06,28.7893,0,0,0,0,0,,
5,0,5e-06,238.006,0,0,0,0,0,,
6,0,5e-06,41.5703,0,0,0,0,0,,
7,0,5e-06,234.606,0,0,0,0,0,,
8,0,5e-06,20.8618,0,0,0,0,0,,
9,0,5e-06,3.25378,0,0,0,0,0,,
10,0,5e-06,128.359,0,1,0,1,0,,
11,0,5e-06,115.585,0,1,0,1,0,,
12,0,5e-06,41.311,0,1,0,1,0,,
13,0,5e-06,41.311,0,1,0,1,0,,
14,0,5e-06,307.789,0,1,0,1,0,,
15,0,5e-06,237.631,0,1,0,1,0,,
16,0,5e-06,6636.32,0,1,0,1,0,,
17,0,5e-06,115.585,0,1,0,1,0,,
18,0,5e-06,307.789,0,1,0,1,0,,
19,0,5e-06,51.7265,0,1,0,1,0,,
20,0,5e-06,102.323,0,2,0,2,0,,
21,0,5e-06,42.6213,0,2,0,2,0,,
22,0,5e-06,102.323,0,2,0,2,0,,
23,0,5e-06,24.1962,0,2,0,2,0,,
24,0,5e-06,169.97,0,2,0,2,0,,
25,0,5e-06,115.059,0,2,0,2,0,,
26,0,5e-06,123.522,0,2,0,2,0,,
27,0,5e-06,24.1962,0,2,0,2,0,,
28,0,5e-06,1420.78,0,2,0,2,0,,
29,0,5e-06,42.6213,0,2,0,2,0,,
30,0,5e-06,75.7984,0,3,0,3,0,,
31,0,5e-06,26.7737,0,3,0,3,0,,
32,0,5e-06,26.7737,0,3,0,3,0,,
33,0,5e-06,77.6268,0,3,0,3,0,,
34,0,5e-06,59.2447,0,3,0,3,0,,
35,0,5e-06,59.2447,0,3,0,3,0,,
36,0,5e-06,214.732,0,3,0,3,0,,
37,0,5e-06,54.1856,0,3,0,3,0,,
38,0,5e-06,167.729,0,3,0,3,0,,
39,0,5e-06,77.6268,0,3,0,3,0,,
50,3.25378,5e-06,38.3165,38.3165,0,0,0,0,,9;0
142,20.8618,5e-06,311.278,311.278,0,0,0,0,,2;8
160,24.1962,5e-06,169.791,169.791,2,1,2,1,,27;23
177,26.7737,5e-06,27.4119,27.4119,3,1,3,1,,31;32
188,28.7893,5e-06,15.2416,15.2416,0,0,0,0,,4;1
280,41.311,5e-06,10.4156,10.4156,1,1,1,1,,12;13
285,41.5703,5e-06,2.46056,2.46056,0,1,0,1,,50;6
298,42.6213,5e-06,72.4373,72.4373,2,1,2,1,,21;29
310,44.0309,5e-06,288.109,288.109,0,1,0,1,,188;285
358,51.7265,5e-06,185.905,185.905,1,1,1,1,,19;280
378,54.1856,5e-06,21.6127,21.6127,3,1,3,1,,177;37
417,59.2447,5e-06,67.5843,67.5843,3,1,3,1,,35;34
532,75.7984,5e-06,91.9304,91.9304,3,1,3,1,,378;30
544,77.6268,5e-06,49.2022,49.2022,3,1,3,1,,39;33
686,102.323,5e-06,67.6472,67.6472,2,1,2,1,,20;22
762,115.059,5e-06,8.46337,8.46337,2,1,2,1,,25;298
765,115.585,5e-06,12.7741,12.7741,1,1,1,1,,11;17
815,123.522,5e-06,70.4651,70.4651,2,1,2,1,,762;26
836,126.829,5e-06,545.097,545.097,3,0,3,0,,417;544
845,128.359,5e-06,253.186,253.186,1,1,1,1,,10;765
1028,167.729,5e-06,47.0037,47.0037,3,1,3,1,,38;532
1046,169.97,5e-06,99.8576,99.8576,2,1,2,1,,24;686
1150,193.987,5e-06,75.8406,75.8406,2,1,2,1,,160;815
1235,214.732,5e-06,457.194,457.194,3,1,3,1,,36;1028
1293,234.606,5e-06,3.40051,3.40051,0,1,0,1,,7;3
1306,237.631,5e-06,182.865,182.865,1,1,1,1,,358;15
1308,238.006,5e-06,1504.86,1504.86,0,1,0,1,,1293;5
1435,269.828,5e-06,1150.96,1150.96,2,1,2,1,,1046;1150
1579,307.789,5e-06,73.7565,73.7565,1,1,1,1,,14;18
1646,332.139,5e-06,1410.73,1410.73,0,1,0,1,,142;310
1788,381.545,5e-06,38.951,38.951,1,0,1,0,,1579;845
1876,420.496,5e-06,2631.58,2631.58,1,1,1,1,,1788;1306
2325,671.926,5e-06,2301.5,2301.5,3,1,3,1,,1235;836
2939,1420.78,5e-06,5215.53,5215.53,2,1,2,1,,1435;28
3080,1742.87,5e-06,1230.56,1230.56,0,1,0,1,,1308;1646
3408,2973.43,5e-06,78.6428,78.6428,0,1,0,1,,2325;3080
3433,3052.07,5e-06,6238.76,6238.76,0,1,0,1,,3408;1876
4053,6636.32,5e-06,2654.52,2654.52,0,1,0,1,,16;2939
4237,9290.83,5e-06,0,0,0,1,0,1,,4053;3433
