nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,7e-06,3.25378,0,0,0,0,0,,
1,0,7e-06,28.7893,0,0,0,0,0,,
2,0,7e-06,163.222,0,0,0,0,0,,
3,0,7e-06,43.4087,0,0,0,0,0,,
4,0,7e-06,28.7893,0,0,0,0,0,,
5,0,7e-06,68.078,0,0,0,0,0,,
6,0,7e-06,163.222,0,0,0,0,0,,
7,0,7e-06,68.078,0,0,0,0,0,,
8,0,7e-06,645.159,0,0,0,0,0,,
9,0,7e-06,3.25378,0,0,0,0,0,,
10,0,7e-06,516.844,0,1,0,1,0,,
11,0,7e-06,50.9033,0,1,0,1,0,,
12,0,7e-06,35.6407,0,1,0,1,0,,
13,0,7e-06,516.844,0,1,0,1,0,,
14,0,7e-06,203.004,0,1,0,1,0,,
15,0,7e-06,35.6407,0,1,0,1,0,,
16,0,7e-06,391.121,0,1,0,1,0,,
17,0,7e-06,78.1984,0,1,0,1,0,,
18,0,7e-06,176.378,0,1,0,1,0,,
19,0,7e-06,132.355,0,1,0,1,0,,
20,0,7e-06,162.657,0,2,0,2,0,,
21,0,7e-06,6.72241,0,2,0,2,0,,
22,0,7e-06,74.6286,0,2,0,2,0,,
23,0,7e-06,162.657,0,2,0,2,0,,
24,0,7e-06,77.8041,0,2,0,2,0,,
25,0,7e-06,74.6286,0,2,0,2,0,,
26,0,7e-06,187.929,0,2,0,2,0,,
27,0,7e-06,25.042,0,2,0,2,0,,
28,0,7e-06,6.72241,0,2,0,2,0,,
29,0,7e-06,25.042,0,2,0,2,0,,
30,0,7e-06,98.7481,0,3,0,3,0,,
31,0,7e-06,221.353,0,3,0,3,0,,
32,0,7e-06,95.6842,0,3,0,3,0,,
33,0,7e-06,79.3212,0,3,0,3,0,,
34,0,7e-06,24.6441,0,3,0,3,0,,
35,0,7e-06,170.135,0,3,0,3,0,,
36,0,7e-06,79.3212,0,3,0,3,0,,
37,0,7e-06,24.6441,0,3,0,3,0,,
38,0,7e-06,221.353,0,3,0,3,0,,
39,0,7e-06,170.135,0,3,0,3,0,,
50,3.25378,7e-06,86.8576,86.8576,0,0,0,0,,9;0
74,6.72241,7e-06,285.212,285.212,2,0,2,0,,28;21
166,24.6441,7e-06,71.0401,71.0401,3,1,3,1,,34;37
171,25.042,7e-06,52.7622,52.7622,2,1,2,1,,29;27
188,28.7893,7e-06,14.6195,14.6195,0,0,0,0,,4;1
232,35.6407,7e-06,15.2626,15.2626,1,1,1,1,,15;12
303,43.4087,7e-06,46.7026,46.7026,0,1,0,1,,188;3
355,50.9033,7e-06,27.2951,27.2951,1,1,1,1,,11;232
486,68.078,7e-06,577.081,577.081,0,0,0,0,,7;5
522,74.6286,7e-06,113.3,113.3,2,1,2,1,,25;22
546,77.8041,7e-06,214.13,214.13,2,1,2,1,,171;24
553,78.1984,7e-06,54.1569,54.1569,1,1,1,1,,355;17
564,79.3212,7e-06,45.4898,45.4898,3,1,3,1,,36;33
624,90.1113,7e-06,431.393,431.393,0,1,0,1,,50;303
656,95.6842,7e-06,3.06392,3.06392,3,1,3,1,,32;166
669,98.7481,7e-06,26.0629,26.0629,3,1,3,1,,30;656
825,124.811,7e-06,82.0128,82.0128,3,1,3,1,,669;564
864,132.355,7e-06,44.0223,44.0223,1,1,1,1,,19;553
1007,162.657,7e-06,1019.24,1019.24,2,0,2,0,,23;20
1010,163.222,7e-06,358.283,358.283,0,0,0,0,,6;2
1048,170.135,7e-06,36.6891,36.6891,3,1,3,1,,35;39
1076,176.378,7e-06,26.6262,26.6262,1,1,1,1,,18;864
1127,187.929,7e-06,200.188,200.188,2,1,2,1,,522;26
1184,203.004,7e-06,188.117,188.117,1,1,1,1,,1076;14
1201,206.824,7e-06,2459.04,2459.04,3,1,3,1,,1048;825
1258,221.353,7e-06,2154.73,2154.73,3,1,3,1,,31;38
1524,291.934,7e-06,96.1819,96.1819,2,1,2,1,,74;546
1803,388.116,7e-06,793.782,793.782,2,1,2,1,,1524;1127
1814,391.121,7e-06,560.751,560.751,1,1,1,1,,1184;16
2061,516.844,7e-06,435.028,435.028,1,1,1,1,,10;13
2071,521.504,7e-06,1154.53,1154.53,0,1,0,1,,1010;624
2286,645.159,7e-06,1030.88,1030.88,0,1,0,1,,8;486
2620,951.873,7e-06,6827.15,6827.15,1,1,1,1,,1814;2061
2777,1181.9,7e-06,6597.13,6597.13,2,1,2,1,,1007;1803
3042,1676.04,7e-06,700.048,700.048,0,1,0,1,,2071;2286
3274,2376.09,7e-06,289.779,289.779,0,1,0,1,,3042;1258
3332,2665.86,7e-06,6380.54,6380.54,0,1,0,1,,3274;1201
4125,7779.03,7e-06,1267.37,1267.37,0,1,0,1,,2620;2777
4219,9046.4,7e-06,0,0,0,1,0,1,,4125;3332
