nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,8e-06,3.25378,0,0,0,0,0,,
1,0,8e-06,28.7893,0,0,0,0,0,,
2,0,8e-06,113.348,0,0,0,0,0,,
3,0,8e-06,414.029,0,0,0,0,0,,
4,0,8e-06,28.7893,0,0,0,0,0,,
5,0,8e-06,113.348,0,0,0,0,0,,
6,0,8e-06,116.948,0,0,0,0,0,,
7,0,8e-06,203.981,0,0,0,0,0,,
8,0,8e-06,116.948,0,0,0,0,0,,
9,0,8e-06,3.25378,0,0,0,0,0,,
10,0,8e-06,50.9033,0,1,0,1,0,,
11,0,8e-06,50.9033,0,1,0,1,0,,
12,0,8e-06,57.6441,0,1,0,1,0,,
13,0,8e-06,164.573,0,1,0,1,0,,
14,0,8e-06,676.704,0,1,0,1,0,,
15,0,8e-06,953.324,0,1,0,1,0,,
16,0,8e-06,57.6441,0,1,0,1,0,,
17,0,8e-06,334.189,0,1,0,1,0,,
18,0,8e-06,117.623,0,1,0,1,0,,
19,0,8e-06,86.9685,0,1,0,1,0,,
20,0,8e-06,97.6486,0,2,0,2,0,,
21,0,8e-06,346.377,0,2,0,2,0,,
22,0,8e-06,667.706,0,2,0,2,0,,
23,0,8e-06,76.2477,0,2,0,2,0,,
24,0,8e-06,284.022,0,2,0,2,0,,
25,0,8e-06,362.331,0,2,0,2,0,,
26,0,8e-06,346.377,0,2,0,2,0,,
27,0,8e-06,97.6486,0,2,0,2,0,,
28,0,8e-06,76.2477,0,2,0,2,0,,
29,0,8e-06,239.321,0,2,0,2,0,,
30,0,8e-06,129.325,0,3,0,3,0,,
31,0,8e-06,54.9422,0,3,0,3,0,,
32,0,8e-06,129.325,0,3,0,3,0,,
33,0,8e-06,46.7392,0,3,0,3,0,,
34,0,8e-06,16.1953,0,3,0,3,0,,
35,0,8e-06,54.9422,0,3,0,3,0,,
36,0,8e-06,77.9214,0,3,0,3,0,,
37,0,8e-06,77.9214,0,3,0,3,0,,
38,0,8e-06,46.7392,0,3,0,3,0,,
39,0,8e-06,16.1953,0,3,0,3,0,,
50,3.25378,8e-06,410.775,410.775,0,0,0,0,,9;0
119,16.1953,8e-06,758.169,758.169,3,1,3,1,,39;34
188,28.7893,8e-06,561.271,561.271,0,0,0,0,,4;1
331,46.7392,8e-06,349.882,349.882,3,1,3,1,,38;33
355,50.9033,8e-06,125.928,125.928,1,1,1,1,,11;10
383,54.9422,8e-06,206.756,206.756,3,0,3,0,,35;31
405,57.6441,8e-06,29.3244,29.3244,1,1,1,1,,12;16
536,76.2477,8e-06,286.083,286.083,2,1,2,1,,23;28
547,77.9214,8e-06,176.766,176.766,3,1,3,1,,37;36
608,86.9685,8e-06,30.6548,30.6548,1,1,1,1,,405;19
664,97.6486,8e-06,141.672,141.672,2,1,2,1,,27;20
752,113.348,8e-06,90.6334,90.6334,0,0,0,0,,2;5
778,116.948,8e-06,283.204,283.204,0,0,0,0,,6;8
781,117.623,8e-06,46.9501,46.9501,1,1,1,1,,608;18
851,129.325,8e-06,125.362,125.362,3,1,3,1,,30;32
1016,164.573,8e-06,12.2576,12.2576,1,1,1,1,,781;13
1078,176.831,8e-06,157.358,157.358,1,0,1,0,,355;1016
1190,203.981,8e-06,196.17,196.17,0,1,0,1,,752;7
1312,239.321,8e-06,44.7007,44.7007,2,1,2,1,,29;664
1377,254.688,8e-06,7.0101,7.0101,3,1,3,1,,547;851
1401,261.698,8e-06,134.923,134.923,3,1,3,1,,1377;383
1494,284.022,8e-06,741.727,741.727,2,1,2,1,,24;1312
1652,334.189,8e-06,342.514,342.514,1,1,1,1,,1078;17
1701,346.377,8e-06,679.372,679.372,2,1,2,1,,21;26
1746,362.331,8e-06,305.375,305.375,2,0,2,0,,536;25
1824,396.621,8e-06,377.743,377.743,3,1,3,1,,331;1401
1832,400.152,8e-06,189.909,189.909,0,1,0,1,,778;1190
1859,414.029,8e-06,475.444,475.444,0,1,0,1,,3;50
2197,590.061,8e-06,299.413,299.413,0,1,0,1,,1832;188
2323,667.706,8e-06,2198.17,2198.17,2,1,2,1,,1746;22
2335,676.704,8e-06,276.62,276.62,1,1,1,1,,1652;14
2443,774.364,8e-06,4364.85,4364.85,3,1,3,1,,119;1824
2566,889.473,8e-06,23258,23258,0,1,0,1,,1859;2197
2622,953.324,8e-06,4185.89,4185.89,1,1,1,1,,2335;15
2671,1025.75,8e-06,1840.12,1840.12,2,1,2,1,,1494;1701
3384,2865.87,8e-06,5459.91,5459.91,2,1,2,1,,2671;2323
3867,5139.21,8e-06,3186.57,3186.57,0,1,0,1,,2622;2443
4167,8325.78,8e-06,15821.7,15821.7,0,1,0,1,,3384;3867
4633,24147.4,8e-06,0,0,0,1,0,1,,2566;4167
