nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,6e-06,3.25378,0,0,0,0,0,,
1,0,6e-06,28.7893,0,0,0,0,0,,
2,0,6e-06,300.063,0,0,0,0,0,,
3,0,6e-06,136.106,0,0,0,0,0,,
4,0,6e-06,28.7893,0,0,0,0,0,,
5,0,6e-06,554.031,0,0,0,0,0,,
6,0,6e-06,41.5703,0,0,0,0,0,,
7,0,6e-06,136.106,0,0,0,0,0,,
8,0,6e-06,387.534,0,0,0,0,0,,
9,0,6e-06,3.25378,0,0,0,0,0,,
10,0,6e-06,19.0672,0,1,0,1,0,,
11,0,6e-06,38.5054,0,1,0,1,0,,
12,0,6e-06,143.966,0,1,0,1,0,,
13,0,6e-06,38.5054,0,1,0,1,0,,
14,0,6e-06,19.0672,0,1,0,1,0,,
15,0,6e-06,128.359,0,1,0,1,0,,
16,0,6e-06,143.966,0,1,0,1,0,,
17,0,6e-06,178.905,0,1,0,1,0,,
18,0,6e-06,178.905,0,1,0,1,0,,
19,0,6e-06,247.753,0,1,0,1,0,,
20,0,6e-06,231.148,0,2,0,2,0,,
21,0,6e-06,175.589,0,2,0,2,0,,
22,0,6e-06,62.5656,0,2,0,2,0,,
23,0,6e-06,34.958,0,2,0,2,0,,
24,0,6e-06,34.958,0,2,0,2,0,,
25,0,6e-06,62.5656,0,2,0,2,0,,
26,0,6e-06,25.042,0,2,0,2,0,,
27,0,6e-06,162.904,0,2,0,2,0,,
28,0,6e-06,193.987,0,2,0,2,0,,
29,0,6e-06,25.042,0,2,0,2,0,,
30,0,6e-06,84.4287,0,3,0,3,0,,
31,0,6e-06,26.7737,0,3,0,3,0,,
32,0,6e-06,24.6441,0,3,0,3,0,,
33,0,6e-06,84.4287,0,3,0,3,0,,
34,0,6e-06,392.825,0,3,0,3,0,,
35,0,6e-06,45.5753,0,3,0,3,0,,
36,0,6e-06,366.514,0,3,0,3,0,,
37,0,6e-06,24.6441,0,3,0,3,0,,
38,0,6e-06,45.5753,0,3,0,3,0,,
39,0,6e-06,378.446,0,3,0,3,0,,
50,3.25378,6e-06,38.3165,38.3165,0,0,0,0,,9;0
128,19.0672,6e-06,109.292,109.292,1,1,1,1,,14;10
166,24.6441,6e-06,2.12957,2.12957,3,1,3,1,,32;37
171,25.042,6e-06,960.958,960.958,2,1,2,1,,29;26
177,26.7737,6e-06,228.076,228.076,3,1,3,1,,31;166
188,28.7893,6e-06,15.2416,15.2416,0,0,0,0,,4;1
228,34.958,6e-06,196.19,196.19,2,1,2,1,,24;23
261,38.5054,6e-06,315.443,315.443,1,1,1,1,,13;11
285,41.5703,6e-06,2.46056,2.46056,0,1,0,1,,50;6
310,44.0309,6e-06,316.221,316.221,0,1,0,1,,188;285
320,45.5753,6e-06,209.274,209.274,3,0,3,0,,38;35
444,62.5656,6e-06,100.338,100.338,2,1,2,1,,25;22
595,84.4287,6e-06,282.085,282.085,3,1,3,1,,33;30
845,128.359,6e-06,225.589,225.589,1,1,1,1,,15;128
879,136.106,6e-06,163.957,163.957,0,1,0,1,,3;7
921,143.966,6e-06,103.788,103.788,1,0,1,0,,12;16
1008,162.904,6e-06,12.6847,12.6847,2,1,2,1,,27;444
1071,175.589,6e-06,18.3984,18.3984,2,1,2,1,,21;1008
1090,178.905,6e-06,501.016,501.016,1,1,1,1,,18;17
1150,193.987,6e-06,143.605,143.605,2,1,2,1,,1071;28
1285,231.148,6e-06,106.445,106.445,2,1,2,1,,20;228
1343,247.753,6e-06,384.592,384.592,1,1,1,1,,19;921
1379,254.85,6e-06,123.597,123.597,3,1,3,1,,320;177
1552,300.063,6e-06,60.1884,60.1884,0,1,0,1,,2;879
1667,337.592,6e-06,648.407,648.407,2,1,2,1,,1285;1150
1723,353.948,6e-06,278.397,278.397,1,1,1,1,,845;261
1741,360.252,6e-06,27.2821,27.2821,0,1,0,1,,310;1552
1757,366.514,6e-06,130.137,130.137,3,1,3,1,,595;36
1783,378.446,6e-06,14.3786,14.3786,3,1,3,1,,39;1379
1802,387.534,6e-06,166.497,166.497,0,0,0,0,,8;1741
1818,392.825,6e-06,103.825,103.825,3,1,3,1,,1783;34
2028,496.65,6e-06,1831.67,1831.67,3,1,3,1,,1757;1818
2131,554.031,6e-06,1774.29,1774.29,0,1,0,1,,5;1802
2267,632.345,6e-06,47.5763,47.5763,1,0,1,0,,1343;1723
2341,679.921,6e-06,4774.88,4774.88,1,1,1,1,,2267;1090
2643,986,6e-06,4730.86,4730.86,2,0,2,0,,171;1667
3260,2328.32,6e-06,3126.48,3126.48,0,1,0,1,,2131;2028
3906,5454.81,6e-06,262.055,262.055,0,1,0,1,,2341;3260
3953,5716.86,6e-06,0,0,0,0,0,0,,2643;3906
